month,cmake,makefile,gnu make,autoconf,scons
2004-01,4,72,23,22,4
2004-02,3,85,23,24,0
2004-03,1,77,26,27,1
2004-04,2,100,21,14,1
2004-05,3,73,14,22,3
2004-06,2,71,15,21,2
2004-07,2,79,21,21,6
2004-08,4,82,20,24,3
2004-09,5,77,12,15,7
2004-10,2,67,20,15,2
2004-11,3,75,17,13,2
2004-12,1,62,22,13,5
2005-01,2,67,11,19,4
2005-02,3,57,15,16,5
2005-03,3,64,14,13,7
2005-04,3,72,13,14,1
2005-05,2,62,12,13,8
2005-06,3,63,12,11,7
2005-07,3,62,13,9,7
2005-08,2,66,13,14,5
2005-09,2,62,12,11,5
2005-10,3,57,18,8,7
2005-11,2,56,11,12,6
2005-12,3,49,11,12,6
2006-01,4,46,12,14,5
2006-02,3,56,10,15,6
2006-03,3,57,9,8,5
2006-04,1,44,8,5,9
2006-05,5,47,9,9,5
2006-06,4,52,14,9,6
2006-07,10,44,10,5,3
2006-08,3,48,14,9,5
2006-09,7,44,13,7,6
2006-10,4,42,8,8,7
2006-11,4,48,12,6,8
2006-12,5,40,8,6,6
2007-01,5,42,9,8,8
2007-02,8,39,9,8,5
2007-03,9,43,7,8,8
2007-04,4,40,7,4,7
2007-05,10,38,10,9,6
2007-06,9,36,10,7,6
2007-07,6,36,10,7,5
2007-08,8,39,7,5,6
2007-09,7,36,7,4,5
2007-10,8,37,9,6,5
2007-11,8,37,6,7,4
2007-12,9,33,7,4,4
2008-01,5,33,6,7,5
2008-02,7,31,6,5,3
2008-03,7,36,6,4,5
2008-04,9,36,7,6,5
2008-05,6,31,6,5,4
2008-06,8,29,7,5,3
2008-07,8,32,6,5,4
2008-08,8,25,6,5,3
2008-09,10,29,7,5,4
2008-10,9,34,7,4,4
2008-11,10,33,6,5,5
2008-12,9,29,6,4,4
2009-01,9,23,5,5,5
2009-02,10,30,7,4,4
2009-03,12,31,5,4,3
2009-04,11,30,5,4,4
2009-05,10,23,5,4,4
2009-06,10,28,3,4,4
2009-07,10,30,4,2,4
2009-08,10,22,3,3,5
2009-09,10,27,5,3,3
2009-10,10,28,5,3,4
2009-11,10,28,4,3,4
2009-12,12,24,3,3,4
2010-01,11,24,4,3,3
2010-02,10,21,4,4,4
2010-03,12,27,4,3,3
2010-04,11,26,4,3,4
2010-05,13,24,4,3,4
2010-06,14,21,4,3,3
2010-07,10,20,3,2,4
2010-08,10,22,4,3,4
2010-09,13,24,3,2,3
2010-10,13,21,3,2,3
2010-11,11,21,3,2,2
2010-12,12,18,2,1,3
2011-01,12,18,4,3,3
2011-02,13,19,3,2,4
2011-03,12,21,3,2,3
2011-04,13,22,4,2,4
2011-05,12,21,4,2,3
2011-06,11,18,3,2,3
2011-07,10,17,3,1,3
2011-08,12,17,3,2,3
2011-09,11,18,4,1,3
2011-10,11,18,4,2,3
2011-11,11,18,3,2,3
2011-12,9,16,2,2,2
